"Bldg No","Building Name","Func Code","Total GSF","Unit Cost $/GSF","Bldg NASF","Efficiency %","Non-GSF","State NASF","AAG_NASF","Year Const","Year Ren","Year Aqud","Replacement Value","Auxil Value","Value Rvsd as of","FQI","Elig for Cap","Renovation Cost","Auxil Reno$","Codes Own","Status","A110","A210","A220","A250","A310","A410","A420","A440","A510","A520","A523","A530","A540","A550","A560","A570","A580","A610","A620","A630","A640","A650","A660","A670","A680","A710","A720","A730","A740","A750","A760","A770","A800","A900","A050_070","A050","A060","A070","A090","A050_900","bldg_nasf","A010","A020","A030","A040","A010_030","NUSF","EFFIC_NUSF"
"=TEXT(022,""000"")","KENT HALL","6","17,879","589","13,045","73","17879","13045.47",,"1944","1984",,"$10,523,239","$10,523,239","1994","73","0.73","$7,681,965","$7,681,965","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13045.47",,,,,,"13045.47","13,045",,"910.17","439.2",,"1349.37","14394.84","81"
"=TEXT(023,""000"")","WASHINGTON HALL","6","23,792","589","18,078","76","23792","18078",,"1940","1986",,"$14,003,519","$14,003,519","1994","73","0.73","$10,222,569","$10,222,569","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18078",,,,,,"18078","18,078",,"4328","1289","0","5617","23695","100"
"=TEXT(024,""000"")","ALLEGANY HALL","6","40,300","589","35,421","88","40300","35421",,"1955","1986",,"$23,719,814","$23,719,814","1994","73","0.73","$17,315,464","$17,315,464","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35421",,,,,,"35421","35,421",,"2782","200",,"2982","38403","95"
"=TEXT(025,""000"")","CHARLES HALL","6","19,378","589","16,201","84","19378","16200.68",,"1955","1989",,"$11,405,522","$11,405,522","1994","73","0.73","$8,326,031","$8,326,031","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16200.68",,,,,,"16200.68","16,201","13","811","172.73",,"996.73","17197.41","89"
"=TEXT(026,""000"")","SOUTH CAMPUS DINING HALL","6","133,845","496","90,728","68","131472","89119.93",,"1974","1989",,"$66,339,892","$65,164,071","1994","73","0.73","$48,428,121","$47,569,772","UM","1",,,,,"25975.69","70.5",,,,,,"1964.79",,,,,,,,"44492.74",,"288.88",,"234.29",,,"910.39","631.84",,"16158.89",,,,,,,,,,"90728.01","90,728","346.31","15030.84","14617.8",,"29994.95","120722.96","90"
"=TEXT(028,""000"")","HOWARD HALL","6","7,300","589","4,555","62","7300","4555",,"1940","1986",,"$4,296,641","$4,296,641","1994","73","0.73","$3,136,548","$3,136,548","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4555",,,,,,"4555","4,555",,"356","0",,"356","4911","67"
"=TEXT(029,""000"")","FREDERICK HALL","6","16,576","589","13,338","80","16576","13338",,"1948","1986",,"$9,756,318","$9,756,318","1994","73","0.73","$7,122,112","$7,122,112","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13338",,,,,,"13338","13,338",,"1009",,,"1009","14347","87"
"=TEXT(030,""000"")","TALBOT HALL","6","9,822","589","7,285","74","9822","7285",,"1948","1984",,"$5,781,042","$5,781,042","1994","73","0.73","$4,220,161","$4,220,161","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7285",,,,,,"7285","7,285",,"581","153",,"734","8019","82"
"=TEXT(031,""000"")","GARRETT HALL","6","17,579","589","13,114","75","17579","13114",,"1948","1984",,"$10,346,665","$10,346,665","1994","73","0.73","$7,553,066","$7,553,066","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13114",,,,,,"13114","13,114",,"989","174",,"1163","14277","81"
"=TEXT(032,""000"")","MONTGOMERY HALL","6","59,825","558","46,014","77","59825","46014",,"1955","1989",,"$33,358,602","$33,358,602","1994","73","0.73","$24,351,779","$24,351,779","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46014","0",,,"0",,"46014","46,014","0","1888","150",,"2038","48052","80"
