"Bldg No","Building Name","Func Code","Total GSF","Unit Cost $/GSF","Bldg NASF","Efficiency %","Non-GSF","State NASF","AAG_NASF","Year Const","Year Ren","Year Aqud","Replacement Value","Auxil Value","Value Rvsd as of","FQI","Elig for Cap","Renovation Cost","Auxil Reno$","Codes Own","Status","A110","A210","A220","A250","A310","A410","A420","A440","A510","A520","A523","A530","A540","A550","A560","A570","A580","A610","A620","A630","A640","A650","A660","A670","A680","A710","A720","A730","A740","A750","A760","A770","A800","A900","A050_070","A050","A060","A070","A090","A050_900","bldg_nasf","A010","A020","A030","A040","A010_030","NUSF","EFFIC_NUSF"
"=TEXT(073,""000"")","H.J. PATTERSON HALL","1","118,111","651","73,582","62","695","433.47",,"1937","2017",,"$76,835,561","$452,633","1994","40","0.394","$30,267,067","$178,301","UM","1","7287.68","11378.03","1058.74","11534.37","28096.59",,,,,,,,,,,,,,,"433.47",,"2131.6",,,,,,,,,,,,,"11661.99","5575.78","6080.64","5.57",,"73582.47","73,582","337.54","19822.5","9874.28","113.51","30034.32","103616.79","88"
"=TEXT(076,""000"")","SYMONS HALL","1","78,248","682","48,320","62",,,,"1940","2000",,"$53,327,172","$0","1994","53","0.535","$28,526,193","$0","UM","1","2282.05",,"1486.81",,"41966.37","317.52","1134.79",,,,,,,,,,,,,,,"450.51",,,,,,"682.4",,,,,,,,,,,,"48320.45","48,320","112.75","14829.1","3418.91","44.26","18360.76","66681.21","85"
"=TEXT(077,""000"")","THOMAS V. MILLER JR. ADMINISTRATION BUILDING","4","41,299","508","21,777","53","5947","3136.04",,"1940","1964",,"$20,981,475","$3,021,442","1994","73","0.73","$15,316,477","$2,205,653","UM","1",,,,,"21247.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"530.23","530.23",,,,"21777.26","21,777","85.79","7905.76","4734.68",,"12726.23","34503.49","84"
"=TEXT(078,""000"")","RECKORD ARMORY","6","78,615","533","56,546","72","41732","30017.65",,"1944",,,"$41,887,698","$22,236,103","1994","73","0.73","$30,578,019","$16,232,355","UM","1","8275.15","2767.03","1527.68",,"10351.18",,,,,"29226.39",,,,,,,,,,,,"819.29",,,,,,"3282.78",,"296.84",,,,,,,,,,"56546.34","56,546","343.89","10127.88","5305.66","962.65","15777.43","72323.77","92"
"=TEXT(079,""000"")","TURNER HALL","4","25,666","533","13,592","53","11134","5896.49",,"1923","1964",,"$13,675,376","$5,932,568","1994","73","0.73","$9,983,024","$4,330,774","UM","1",,,,,"10383.74",,,,,,,"1713.68",,,,,,"790.61","193.42",,,,,,,,,"458.02",,,,,,,"52.74","52.74",,,,"13592.21","13,592","42.79","2573.78","5700",,"8316.57","21908.78","85"
"=TEXT(080,""000"")","ROSSBOROUGH INN","4","11,558","533","7,385","64",,,,"1798",,,"$6,158,539","$0","1994","73","0.73","$4,495,733","$0","UM","1",,,,,"5590.19",,,,,,,,,,,,,,,,,,,,,,,"243.98",,,,,,,"1550.45","1550.45",,,,"7384.62","7,385","14.25","1058.56","263.4",,"1336.21","8720.83","75"
"=TEXT(081,""000"")","WIND TUNNEL BUILDING","3","31,567","991","20,912","66","25433","16848.53",,"1950",,,"$31,292,187","$25,212,111","1994","73","0.73","$22,843,296","$18,404,840","UM","1",,,,"16583.63","2197.82",,,,,,,,,,,,,,,,,,,,,,"2130.22",,,,,,,,,,,,,"20911.67","20,912","21.77","2649.72","4512.23",,"7183.72","28095.39","89"
"=TEXT(082,""000"")","JOHN S. TOLL PHYSICS BUILDING","1","230,558","651","138,322","60","1082","649.21",,"1953","1968",,"$149,986,351","$703,956","1994","73","0.73","$109,490,036","$513,888","UM","1","24359.11","21955.08","2653.93","33833.95","29993.33","2744.15",,"45.82",,,,,,,,,,,,"40.83",,"1944.44","2067.62",,,"1065.81","11891.37","911.87",,,,,,,"4814.62","3365.98","1448.64",,,"138321.93","138,322","724.33","46599.24","14969.66",,"62293.23","200615.16","87"
"=TEXT(083,""000"")","J.M. PATTERSON BUILDING","1","79,248","682","53,741","68",,,,"1954","1976",,"$54,008,687","$0","1994","73","0.73","$39,426,341","$0","UM","1","4136.1","11552.76","953.46","13384.66","16054.12",,,,,,,"6336.63",,,,,,,,,,"442.78",,,,,"12.5","867.59",,,,,,,,,,,,"53740.6","53,741","270.23","11903.32","5943.45",,"18117","71857.6","91"
"=TEXT(084,""000"")","WILLIAM E. KIRWAN HALL","1","138,852","533","82,077","59","1379","815.68",,"1954","1982",,"$73,983,217","$735,240","1994","73","0.73","$54,007,748","$536,725","UM","1","13285.8","560.2","729.59","137.3","28737.46","5040.47","28983.16","78.59",,,,,,,,,,,,"362.19",,"1436.23","453.49",,"1289.56",,,"983.4",,,,,,,,,,,,"82077.44","82,077","548.98","26794.63","10902.7",,"38246.31","120323.75","87"
"=TEXT(085,""000"")","INSTITUTE FOR PHYSICAL SCIENCE & TECH","3","28,534","805","16,915","59",,,,"1955",,,"$22,982,043","$0","1994","73","0.73","$16,776,891","$0","UM","1","706.41",,,"6893.22","8122.06","712.15",,,,,,,,,,,,,,,,"246.92",,,,"234.44",,,,,,,,,,,,,,"16915.2","16,915","177.41","5090.62","1724.36",,"6992.39","23907.59","84"
"=TEXT(087,""000"")","CENTRAL ANIMAL RESOURCES FACILITY","3","7,163","805","6,289","88",,,,"1983",,,"$5,769,271","$0","1994","73","0.73","$4,211,568","$0","UM","1",,,,,,,,,,,,,,,,"6289.31",,,,,,,,,,,,,,,,,,,,,,,,"6289.31","6,289",,,,,,"6289.31","88"
"=TEXT(088,""000"")","MARTIN HALL","1","158,843","533","87,444","55",,,,"1950","1985",,"$84,634,835","$0","1994","73","0.73","$61,783,430","$0","UM","1","10879.38","2507.31","2330.2","20761.91","47696.1",,"178.06",,,,,,,,,,,,,"40.13",,"2213.24",,,,"796.38",,"41.47",,,,,,,,,,,,"87444.18","87,444","263.3","31827.08","20698.27",,"52788.65","140232.83","88"
"=TEXT(089,""000"")","ENGINEERING LABORATORY BUILDING","1","85,043","743","65,407","77",,,,"1950",,,"$63,226,638","$0","1994","73","0.73","$46,155,446","$0","UM","1",,"7314.14","374.74","40774.62","15891.56",,,,,,,,,,,,,,,,,"608.86",,,,,,"442.67",,,,,,,,,,,,"65406.59","65,407","73.66","9505.42","3582.53",,"13161.61","78568.2","92"
"=TEXT(090,""000"")","CHEMICAL & NUCLEAR ENGINEERING BUILDING","1","84,877","682","53,894","63",,,,"1950",,,"$57,844,934","$0","1994","73","0.73","$42,226,802","$0","UM","1","4941.51","3140.13","373.29","25672.63","15855.48",,,,,,,,,,,,,,,,,"466.96",,,,,,"904.99",,,,,,,"2539.5",,"2539.5",,,"53894.49","53,894","220.45","14150.61","7552.76",,"21923.82","75818.31","89"
"=TEXT(091,""000"")","CHEMISTRY BUILDING","1","398,392","651","208,543","52",,,,"1952","2002",,"$259,168,687","$0","1994","62","0.618","$160,186,841","$0","UM","1","13446.32","27814.93","925.83","89642.8","47607.27",,,,,,,,,,,"245.56",,,,,,"2342.19","3009.89",,,,"889.49","2761.5",,,,,,,"19857.01","3286.74","16570.27",,,"208542.79","208,543","1078.82","75669.53","52151.14","8747.6","128899.49","337442.28","85"
"=TEXT(093,""000"")","ENGINEERING ANNEX","1","10,888","805","8,122","75",,,,"1957","1969",,"$8,769,855","$0","1994","73","0.73","$6,401,994","$0","UM","1",,,,"5476.41","2500.36",,,,,,,,,,,"145.5",,,,,,,,,,,,,,,,,,,,,,,,"8122.27","8,122",,"520.7","731.71",,"1252.41","9374.68","86"
"=TEXT(096,""000"")","CAMBRIDGE HALL","6","55,792","471","30,647","55","55792","30647",,"1962","2016",,"$26,270,488","$26,270,488","1994","0","0","$0","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30647",,,,,,"30647","30,647","563","9332","1016","0","10911","41558","74"
"=TEXT(097,""000"")","CAMBRIDGE COMMUNITY CENTER","6","40,154","508","27,178","68","29059","19669.03",,"1962","1963",,"$20,399,756","$14,763,488","1994","73","0.73","$14,891,822","$10,777,346","UM","1","7290.56",,,,"1479.57",,,,,,,,,,,,,,,,,"333.96","3471.88",,,,"8520.76","410.51",,,,,,,"5670.85","5670.85",,,,"27178.09","27,178","59.09","2057.23","5425.24",,"7541.56","34719.65","86"
"=TEXT(098,""000"")","CENTREVILLE HALL","6","128,198","471","76,075","59","128198","76075",,"1962",,,"$60,363,924","$60,363,924","1994","73","0.73","$44,065,664","$44,065,664","UM","1",,,"1773",,"407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73895",,,,,,"76075","76,075","1920","27611","2068",,"31599","107674","84"
"=TEXT(099,""000"")","BEL AIR HALL","6","29,090","471","17,710","61","29090","17710",,"1962",,,"$13,697,457","$13,697,457","1994","73","0.73","$9,999,143","$9,999,143","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17710",,,,,,"17710","17,710","562","4149","851","0","5562","23272","80"
"=TEXT(102,""000"")","AGRICULTURE SHED","3","2,322","217","2,117","91",,,,"1938",,,"$503,463","$0","1994","73","0.73","$367,528","$0","UM","1",,,,"271.88",,,,,,,,,,,,"551.25",,,,,,,,,,,"1293.75",,,,,,,,,,,,,"2116.88","2,117",,,,,,"2116.88","91"
"=TEXT(103,""000"")","ANIMAL SCIENCE SERVICE BUILDING","3","1,397","217","1,032","74",,,,"1940",,,"$302,896","$0","1994","73","0.73","$221,114","$0","UM","1",,,,,"859.24",,,,,,,,,,,"172.92",,,,,,,,,,,,,,,,,,,,,,,,"1032.16","1,032",,"132.33","35.82",,"168.15","1200.31","86"
"=TEXT(108,""000"")","HORSE BARN","3","6,919","217","6,500","94",,,,"1938",,,"$1,500,255","$0","1994","73","0.73","$1,095,186","$0","UM","1",,,,,,,,,,,,,,,,"6499.51",,,,,,,,,,,,,,,,,,,,,,,,"6499.51","6,500",,,,,,"6499.51","94"
"=TEXT(109,""000"")","SHEEP BARN","3","6,152","217","5,719","93",,,,"1938",,,"$1,334,026","$0","1994","73","0.73","$973,839","$0","UM","1",,,,,,,,,,,,,,,,"5718.98",,,,,,,,,,,,,,,,,,,,,,,,"5718.98","5,719",,,,,,"5718.98","93"
"=TEXT(110,""000"")","CATTLE BARN","3","8,064","217","7,536","93",,,,"1938",,,"$1,748,719","$0","1994","73","0.73","$1,276,565","$0","UM","1",,,,,,,,,,,,,,,,"7535.77",,,,,,,,,,,,,,,,,,,,,,,,"7535.77","7,536",,,,,,"7535.77","93"
"=TEXT(111,""000"")","PHYSICS WELDING SHOP","3","975","322","848","87",,,,"1970",,,"$314,094","$0","1994","73","0.73","$229,288","$0","UM","1",,,,"848.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"848.43","848",,,,,,"848.43","87"
"=TEXT(115,""000"")","A.V. WILLIAMS BUILDING","1","236,044","651","152,058","64","234","151.34",,"1988","1992",,"$153,555,326","$152,830","1994","62","0.623","$95,673,014","$95,221","UM","1","823.17","8964.69","4236.27","13893.4","62505.22",,,,,,,,,,,,,,,"151.34",,"1214.64",,,,"13502.03",,,,,,,,,"46766.88","41634.19","5132.69",,,"152057.64","152,058","837.23","40447.71","19974.38",,"61259.32","213316.96","90"
"=TEXT(116,""000"")","RESIDENTIAL FACILITIES BUILDING 116","6","1,419","285","1,283","90","1419","1282.92",,"1987",,,"$404,411","$404,411","1994","73","0.73","$295,220","$295,220","UM","1",,,,,"1282.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1282.92","1,283",,,,,,"1282.92","90"
"=TEXT(119,""000"")","POULTRY BARN","3","1,026","217","912","89",,,,"1949",,,"$222,536","$0","1994","73","0.73","$162,451","$0","UM","1",,,,,,,,,,,,,,,,"912.1",,,,,,,,,,,,,,,,,,,,,,,,"912.1","912",,,,,,"912.1","89"
"=TEXT(121,""000"")","CHESTERTOWN HALL","6","29,090","471","16,928","58","29090","16928",,"1962",,,"$13,697,457","$13,697,457","1994","73","0.73","$9,999,143","$9,999,143","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16928",,,,,,"16928","16,928","1496","4364","766","0","6626","23554","81"
"=TEXT(122,""000"")","CUMBERLAND HALL","6","124,486","471","75,336","61","116506","70507",,"1963",,,"$58,616,074","$54,858,812","1994","73","0.73","$42,789,734","$40,046,933","UM","1","1557",,"365",,"2892","360",,,,,,,,,,,,,,,,,,,,,,,,,,,,"70162",,,,,,"75336","75,336","1847","25744","2682",,"30273","105609","85"
"=TEXT(124,""000"")","GROUNDS MATERIAL & EQUIPMENT BUILDING","7","7,372","322","6,322","86",,,,"1988",,,"$2,374,929","$0","1994","73","0.73","$1,733,698","$0","UM","1",,,,,"244.15",,,,,,,,,,,,,,,,,,,,,,"2323.46",,"3754.24",,,,,,,,,,,"6321.85","6,322",,,,,,"6321.85","86"
"=TEXT(126,""000"")","HOUSE 1","6","10,594","589","9,073","86","10594","9073",,"1958","1992",,"$6,235,427","$6,235,427","1994","50","0.5","$3,117,713","$3,117,713","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9073",,,,,,"9073","9,073",,"0","0",,"0","9073","86"
"=TEXT(127,""000"")","HOUSE 2","6","9,144","589","7,611","83","9144","7611",,"1958","1992",,"$5,381,985","$5,381,985","1994","50","0.5","$2,690,992","$2,690,992","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7611",,,,,,"7611","7,611",,"0","0",,"0","7611","83"
"=TEXT(128,""000"")","HOUSE 3","6","9,464","589","7,789","82","9464","7789",,"1954","1991",,"$5,570,330","$5,570,330","1994","50","0.5","$2,785,165","$2,785,165","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7789",,,,,,"7789","7,789",,"0","0",,"0","7789","82"
"=TEXT(129,""000"")","HOUSE 4","6","9,464","589","7,736","82","9464","7736",,"1954","1991",,"$5,570,330","$5,570,330","1994","50","0.5","$2,785,165","$2,785,165","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7736",,,,,,"7736","7,736",,"0","0",,"0","7736","82"
"=TEXT(130,""000"")","HOUSE 5","6","9,464","589","8,217","87","9464","8217",,"1954","1990",,"$5,570,330","$5,570,330","1994","73","0.73","$4,066,341","$4,066,341","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8217",,,,,,"8217","8,217",,"0","0",,"0","8217","87"
"=TEXT(131,""000"")","HOUSE 6","6","9,464","589","7,716","82","9464","7716",,"1954","1990",,"$5,570,330","$5,570,330","1994","73","0.73","$4,066,341","$4,066,341","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7716",,,,,,"7716","7,716",,"0","0",,"0","7716","82"
"=TEXT(132,""000"")","HOUSE 7","6","9,464","589","7,484","79","9464","7484",,"1954","1990",,"$5,570,330","$5,570,330","1994","73","0.73","$4,066,341","$4,066,341","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7484",,,,,,"7484","7,484",,"0","0",,"0","7484","79"
"=TEXT(133,""000"")","HOUSE 8","6","9,464","589","7,549","80","9464","7549",,"1954","1998",,"$5,570,330","$5,570,330","1994","25","0.25","$1,392,583","$1,392,583","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7549",,,,,,"7549","7,549",,"0","0",,"0","7549","80"
"=TEXT(134,""000"")","HOUSE 9","6","9,464","589","7,667","81","9464","7667",,"1954","1997",,"$5,570,330","$5,570,330","1994","25","0.25","$1,392,583","$1,392,583","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7667",,,,,,"7667","7,667",,"0","0",,"0","7667","81"
"=TEXT(135,""000"")","HOUSE 10","6","9,464","589","7,804","82","9464","7804",,"1954","1997",,"$5,570,330","$5,570,330","1994","25","0.25","$1,392,583","$1,392,583","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7804",,,,,,"7804","7,804",,"0","0",,"0","7804","82"
"=TEXT(136,""000"")","HOUSE 11","6","9,464","589","7,590","80","9464","7590",,"1954","1995",,"$5,570,330","$5,570,330","1994","50","0.5","$2,785,165","$2,785,165","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7590",,,,,,"7590","7,590",,"0","0",,"0","7590","80"
"=TEXT(137,""000"")","HOUSE 12","6","9,464","589","7,890","83","9464","7890",,"1954","1995",,"$5,570,330","$5,570,330","1994","50","0.5","$2,785,165","$2,785,165","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7890",,,,,,"7890","7,890",,"0","0",,"0","7890","83"
"=TEXT(138,""000"")","HOUSE 13","6","10,624","589","8,779","83","10624","8779",,"1962","1993",,"$6,253,084","$6,253,084","1994","50","0.5","$3,126,542","$3,126,542","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8779",,,,,,"8779","8,779",,"0","0",,"0","8779","83"
"=TEXT(139,""000"")","HOUSE 14","6","10,690","589","8,845","83","10690","8845",,"1963","1993",,"$6,291,931","$6,291,931","1994","50","0.5","$3,145,965","$3,145,965","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8845",,,,,,"8845","8,845",,"0","0",,"0","8845","83"
"=TEXT(140,""000"")","HEALTH CENTER","7","55,852","508","33,727","60","5439","3284.87",,"1964","2004",,"$28,374,956","$2,763,563","1994","10","0.1","$2,837,496","$276,356","UM","1",,,,,"16880.72",,,,,,,,"555.52",,,,,,,"101.02","94.18",,,,,"210.17",,,,"68.54",,,"15817.33",,,,,,,"33727.48","33,727","353.85","11035.14","2982.83",,"14371.82","48099.3","86"
"=TEXT(141,""000"")","TAWES HALL","1","164,610","533","81,701","50","322","160.11",,"1965","2016",,"$87,707,612","$171,880","1994","5","0.05","$4,385,381","$8,594","UM","1","21741.82","4816.1","1394.08",,"37768.93",,,,,,,"5415.3",,,,,,"3361.49",,"186.02","89.37","3297.35",,,,,,"636.39",,,,,,,"2994.32","2994.32",,,,"81701.17","81,701","355.49","38583.89","19565.94",,"58505.32","140206.49","85"
"=TEXT(142,""000"")","ANIMAL SCIENCES/AGRIC. ENGRG BLDG","1","195,450","651","119,546","61",,,,"1970","1994",,"$127,147,432","$0","1994","58","0.575","$73,162,337","$0","UM","1","2590.2","9953.63","1544.88","36217.04","19699.98",,,,,,,,,,,"36030.17",,,,,,,,,,,"7310.15","2310.47",,,,,,,"3889.5","7.76","3881.74",,,"119546.02","119,546","830.04","30965.48","21168.56",,"52964.08","172510.1","88"
"=TEXT(143,""000"")","BENJAMIN BUILDING","1","112,225","533","70,445","63",,,,"1966","1968",,"$59,795,801","$0","1994","73","0.73","$43,650,935","$0","UM","1","7485.71","2157.46","1987.38","7047.22","50453.12",,,,,,,"261.27",,"161.23",,,,,,,"70.06","420.39",,,,,"401.03",,,,,,,,,,,,,"70444.87","70,445","257.82","18134.99","11406.06",,"29798.87","100243.74","89"
"=TEXT(144,""000"")","BIOLOGY-PSYCHOLOGY BUILDING","1","242,067","651","140,707","58",,,,"1971",,,"$157,473,556","$0","1994","73","0.73","$114,955,696","$0","UM","1","8623.86","6583.66","185.14","57804.1","32085.64",,,,,,,,"2964.23",,,"11944.34",,,,,,"546.56",,,,"276.94",,"9089.4",,,,,,,"10602.95","10602.95",,,,"140706.82","140,707","409.26","43152.81","29670.71","349.96","73232.78","213939.6","88"
"=TEXT(145,""000"")","ARCHITECTURE BUILDING","1","70,150","582","46,877","67",,,,"1972",,,"$40,854,539","$0","1994","73","0.73","$29,823,814","$0","UM","1","7199.92","18918.53","2577.62","405.25","10025.05","3677.04","1776","225",,,,,,,,,,,"1575.34",,,,,,,,,"497.45",,,,,,,,,,,,"46877.2","46,877","118.91","10159.82","5246.35",,"15525.08","62402.28","89"
"=TEXT(146,""000"")","PARREN J. MITCHELL ART-SOCIOLOGY BUILDING","1","159,309","533","89,335","56",,,,"1976",,,"$84,883,130","$0","1994","73","0.73","$61,964,685","$0","UM","1","10494.25","30151.12","7581.15","1072.56","24996.66","2422.98","6113.91","192.11",,,,,,,,,,,"5480.08",,,"830.23",,,,,,,,,,,,,,,,,,"89335.05","89,335","231.73","33691.79","16203.82",,"50127.34","139462.39","88"
"=TEXT(147,""000"")","HORNBAKE LIBRARY","5","279,986","489","200,005","71",,,,"1972",,,"$137,039,583","$0","1994","73","0.73","$100,038,896","$0","UM","1","11763.51","900.78","2174.26","4329.98","56990.24","16981.9","60915.19","20954.94",,,,,,,,,,,"7039.71",,"56.22","5508.05",,,,,,"10243.05",,,,,,,"2147.1","2147.1",,,,"200004.93","200,005","911.82","30229.37","29121.48",,"60262.67","260267.6","93"
"=TEXT(148,""000"")","MANUFACTURING BUILDING","1","22,150","805","16,664","75",,,,"1992",,,"$17,839,917","$0","1994","50","0.5","$8,919,959","$0","UM","1",,,,"9978.25","6685.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16664.16","16,664","77.85","2469.4","876.66",,"3423.91","20088.07","91"
"=TEXT(156,""000"")","ARBORETUM OUTREACH CENTER","7","2,512","533","1,585","63",,,,"1952",,,"$1,338,446","$0","1994","73","0.73","$977,065","$0","UM","1",,,,,"646.41",,,,,,,,,,,,,,,,,,,,"520",,,"419",,,,,,,,,,,,"1585.41","1,585",,"277.91","172.34",,"450.25","2035.66","81"
"=TEXT(158,""000"")","VARSITY SPORTS TEAMHOUSE","6","22,857","558","17,308","76","22857","17307.86",,"1974","1978",,"$12,745,155","$12,745,155","1994","73","0.73","$9,303,963","$9,303,963","UM","1",,,,,"340.56",,,,,"16967.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17307.86","17,308","32","2867.04","878.14",,"3777.18","21085.04","92"
"=TEXT(159,""000"")","BOB ""TURTLE"" SMITH STADIUM AT SHIPLEY FIELD","6","2,640","558","2,215","84","2640","2214.76",,"1954",,,"$1,472,217","$1,472,217","1994","73","0.73","$1,074,718","$1,074,718","UM","1",,,,,,,,,,"2047.31",,,,,,,,,,"167.45",,,,,,,,,,,,,,,,,,,,"2214.76","2,215","19.33",,"261.48",,"280.81","2495.57","95"
"=TEXT(162,""000"")","COLE STUDENT ACTIVITIES BUILDING","6","206,645","446","159,103","77","142021","109346.97",,"1956","1971",,"$92,180,704","$63,353,042","1994","73","0.73","$67,291,914","$46,247,721","UM","1","2266.27",,"981.03","3910.76","25231.9","448.12",,,,"104310.67",,,,,,,,,"4741.64",,"116.03","253.54",,,,,,"954.35",,,,,,,"15889.03","12619.12","3269.91",,,"159103.34","159,103","743.57","20037.27","10081.54",,"30862.38","189965.72","92"
"=TEXT(163,""000"")","STAMP STUDENT UNION","6","289,123","496","184,087","64","288695","183815.9",,"1955","2002",,"$143,302,989","$143,091,577","1994","10","0.1","$14,330,299","$14,309,157","UM","1",,,"93.61",,"28904.79",,,,,,,"2425.32",,,,,,"26683.11","2165.8","37413.28","97.34","17605.25","25840.43","14109.2","21912.74","232.58","1185.38","5418.65",,,,,,,,,,,,"184087.48","184,087","831.72","58276.88","19676.73",,"78785.33","262872.81","91"
"=TEXT(164,""000"")","UNIVERSITY HOUSE","7","15,133","622","10,697","71","1192","842.72",,"2012",,,"$9,413,581","$741,640","1994","2","0.02","$188,272","$14,832","UM","1",,,,,,,,,,,,,,,,,,"5892.17",,"842.72",,,,,,,,,,,,,,"3961.69",,,,,,"10696.58","10,697","63","130.96","1542.53",,"1736.49","12433.07","82"
"=TEXT(165,""000"")","GOLF COURSE DRIV. RANGE CONT. BLDG.","6","1,131","322","913","81","1131","912.79",,"1966",,,"$364,410","$364,410","1994","73","0.73","$266,020","$266,020","UM","1",,,,,"148.2",,,,,,,,,,,,,,,"764.59",,,,,,,,,,,,,,,,,,,,"912.79","913",,,"36.05",,"36.05","948.84","84"
"=TEXT(166,""000"")","GOLF COURSE CLUB HOUSE","6","25,772","570","17,365","67","25771","17364.56",,"1999",,,"$14,689,623","$14,689,623","1994","25","0.25","$3,672,406","$3,672,406","UM","1",,,,,"1343.53",,,,,"7478.75",,,,,,,,,,"4536.47",,"2107.56","1279.39",,"618.86",,,,,,,,,,,,,,,"17364.56","17,365","136.51","1609.87","2217.82",,"3964.2","21328.76","83"
"=TEXT(167,""000"")","GOLF COURSE MAINTENANCE OFFICE","6","864","285","770","89","864","770.17",,"1967",,,"$246,238","$246,238","1994","73","0.73","$179,753","$179,753","UM","1",,,,,"770.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"770.17","770",,,"12",,"12","782.17","91"
"=TEXT(169,""000"")","BOAT HOUSE","6","554","161","503","91","553","502.83",,"1964",,,"$89,201","$89,201","1994","73","0.73","$65,117","$65,117","UM","1",,,,,,,,,,"502.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"502.83","503",,,,,,"502.83","91"
"=TEXT(170,""000"")","HOUSE 170","6","10,459","589","9,074","87","10459","9074",,"1959","2009",,"$6,155,969","$6,155,969","1994","5","0.05","$307,798","$307,798","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9074",,,,,,"9074","9,074",,"0","0",,"0","9074","87"
"=TEXT(171,""000"")","HOUSE 171","6","10,445","589","8,772","84","10445","8772",,"1960","2012",,"$6,147,728","$6,147,728","1994","73","0.73","$4,487,842","$4,487,842","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8772",,,,,,"8772","8,772",,"0","0",,"0","8772","84"
"=TEXT(172,""000"")","HOUSE 172","6","11,712","589","10,361","88","11712","10361",,"1960","2009",,"$6,893,460","$6,893,460","1994","5","0.05","$344,673","$344,673","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10361",,,,,,"10361","10,361",,"0","0",,"0","10361","88"
"=TEXT(173,""000"")","HOUSE 173","6","10,273","589","8,685","85","10273","8685",,"1964","2010",,"$6,046,492","$6,046,492","1994","5","0.05","$302,325","$302,325","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8685",,,,,,"8685","8,685",,"0","0",,"0","8685","85"
"=TEXT(174,""000"")","HOUSE 174","6","10,372","589","8,770","85","10372","8770",,"1963","2010",,"$6,104,762","$6,104,762","1994","5","0.05","$305,238","$305,238","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8770",,,,,,"8770","8,770",,"0","0",,"0","8770","85"
"=TEXT(175,""000"")","HOUSE 175","6","11,662","589","10,280","88","11662","10280",,"1963","2009",,"$6,864,031","$6,864,031","1994","5","0.05","$343,202","$343,202","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10280",,,,,,"10280","10,280",,"0","0",,"0","10280","88"
"=TEXT(176,""000"")","HOUSE 176","6","11,833","589","10,158","86","11833","10158",,"1964","2012",,"$6,964,679","$6,964,679","1994","73","0.73","$5,084,216","$5,084,216","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10158",,,,,,"10158","10,158",,"0","0",,"0","10158","86"
"=TEXT(179,""000"")","UNION LANE PARKING GARAGE","6","113,509","93","0","0","113509.16",,,"1971",,,"$10,548,842","$0","1994","25","0.25","$2,637,211","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"109312.16","390.89",,"109703.05","109703.05","97"
"=TEXT(201,""000"")","LEONARDTOWN OFFICE BUILDING","6","12,748","533","10,012","79","12748","10012",,"1961",,,"$6,792,398","$6,792,398","1994","73","0.73","$4,958,451","$4,958,451","UM","1",,,,,"7200",,,,,,,,,,,,,,,,,,,,,,"2812",,,,,,,,,,,,,"10012","10,012","127","599","485",,"1211","11223","88"
